Service,Message
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is completed DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","No queued SMs for job 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9. Ignoring request to trigger SMs"
"ai-ops-orchestrator","FMC OptIn is success for FMC c8dca160-91b5-4bd9-b0c8-dd0faa76af50"
"ai-ops-orchestrator","Updating the AIOps flag for the resource: c8dca160-91b5-4bd9-b0c8-dd0faa76af50 of type FMC"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","Migration initiated successfully"
"ai-ops-data-migration","Successfully Published the notification, MessageId:a08cc26c-90cd-5aa0-a661-a36cf5c2686e, FmcId: c8dca160-91b5-4bd9-b0c8-dd0faa76af50"
"ai-ops-tenant-services","Returning the new token for tenant: af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-tenant-services","Locked item to create new token for tenant: af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-tenant-services","Another thread is already creating token for tenant: af5f6035-7538-4709-b073-7b5f4b69543c. Waiting for 300 milliseconds"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","Initiating migration to datastore"
"ai-ops-orchestrator","Polling for TSDB upload completed successfully"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","payload for fmc uid c8dca160-91b5-4bd9-b0c8-dd0faa76af50 : FmcPayload(deviceUid=c8dca160-91b5-4bd9-b0c8-dd0faa76af50, request=FmcRequest(commands=[FmcCommand(method=GET, link=/api/fmc_config/v1/domain/e276abec-e0f2-11e3-8169-6d9ed49b625f/integration/aiops/configure, body=null)]))"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","payload for fmc uid c8dca160-91b5-4bd9-b0c8-dd0faa76af50 : FmcPayload(deviceUid=c8dca160-91b5-4bd9-b0c8-dd0faa76af50, request=FmcRequest(commands=[FmcCommand(method=GET, link=/api/fmc_config/v1/domain/e276abec-e0f2-11e3-8169-6d9ed49b625f/integration/aiops/configure, body=null)]))"
"ai-ops-orchestrator","Polling TSDB upload status on FMC"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","payload for fmc uid c8dca160-91b5-4bd9-b0c8-dd0faa76af50 : FmcPayload(deviceUid=c8dca160-91b5-4bd9-b0c8-dd0faa76af50, request=FmcRequest(commands=[FmcCommand(method=POST, link=/api/fmc_config/v1/domain/e276abec-e0f2-11e3-8169-6d9ed49b625f/integration/aiops/configure, body={""enabled"":true,""tenantUuid"":""af5f6035-7538-4709-b073-7b5f4b69543c"",""uploadUrl"":""https://staging-ai-ops-data-migration.s3.us-west-2.amazonaws.com/af5f6035-7538-4709-b073-7b5f4b69543c/c8dca160-91b5-4bd9-b0c8-dd0faa76af50/c8dca160-91b5-4bd9-b0c8-dd0faa76af50.zip?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFEaCXVzLXdlc3QtMiJGMEQCIHgbjtiOHTakTbqAKuX9vwUTcib7tJ3Cw7CNcMmihVKWAiBY2rEF2NjR2SbWjD32kfBnukzX15w1a6PYXpXd3hmqjyqHBAh6EAAaDDEwNzA0MjAyNjI0NSIM%2FhN2LIw3yhuDqhHqKuQDGPEDPXntNdgv1jii6Nx4iNmkIBQWOJl6QSQTBMBi1QWG5f8s94ySxsmS0U53Mx3YjMSw4NWZo9YlEoNBryAcsMNKo4DBGZG8QlKf1eBKSQGNd6wHpLdOE5Sb4P8Oi%2FPrHzjzXCKY98pGwDy72MPlEGqXJkaNdK2LornwnOT4kMNtBvahC0hrIrRrxzeoFEKlmHYIzEwdxG5vwVMNlSrOaV3LLwv6ZTGkvHXElZZFosioYdbtn7H3%2BNV5NXqksNXVMiIfhD75sne%2Fa44P4AQVRqHg2rejrtEO7iYQ9kBPV%2B4gvkXYL1LQr6IQhtHcgPMBUAm8GrvMW%2B6pCdb%2BrCxupglxUFgM4H2jKiLombK1J8fxq1vCAA7l%2FRzzbHWNhXRH2n8j69YR%2Bc53w6%2BS%2Bm9wz7KyET9r40jwTGmAPyinl%2BaERYyMXBw5W4ufeLpOodOVhnPh6PY74mrc4LBGEhtA2DYgLTMINp%2F0NItW2AsnSa09ltvn42sUcczVOrMJuyi3vIJTB6BRmM1omoFtABUnLG5cpgDPv%2Fpl3DXmypOnk1i5WhUvasMd%2BChKOVi%2Bx9H1JIDfXRpk2wtyO8SQ38G04aTJaVt7ds2yV3OlBx1nLQCp6a5nsklNLoGpfnH3xEnV%2FnBBkjDPupnEBjqmAYlnYAt9KQo2aB4JL%2FsMu1SywKiIe1V3IZXvEjNB7YQFNZSfsND3iWKDF60doF%2BsKxQyF7BOu1sJnLVDLtY3Izxc37xWYVr2%2FfVk%2BWGBKpZW5ml3Yrrpq%2F1Z3Fc2uNuZyBkU94jmNOHMKXmflQw7PZq5nq%2B0%2FhSXpsXRJrxEY%2F%2FP8yVP5mSTfTSjIwCcHq8eKQbspVOPpLw9BgH7NHsW06qwmu5jHbM%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250727T173234Z&X-Amz-SignedHeaders=host&X-Amz-Credential=ASIARR3BTWMC5URX4PZY%2F20250727%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Expires=3600&X-Amz-Signature=2ba5f62cc2e78bb4fd053b972d8e24017fd7f7d290fbb71d8a050d7a53bd60b8""})]))"
"ai-ops-orchestrator","StateMachine instance for FMC OptIn is still running DONE for ID 0eb7243d-7129-4d38-b2e9-99af3a6e9ce9"
"ai-ops-orchestrator","Start FMC Job Poll action on tenant af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-orchestrator","Sending the request to FMC to configure Remote ReadWrite and upload TSDB data"
"ai-ops-orchestrator","FMC feature OptIn Job Action creation success"
"ai-ops-orchestrator","FMC UID: c8dca160-91b5-4bd9-b0c8-dd0faa76af50 and name FMC"
"ai-ops-orchestrator","Creating FMC OptIn task on :"
"ai-ops-orchestrator","Processing FMC Feature OptIn Job Action for tenant af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-orchestrator","Data store provisioning completed successfully"
"ai-ops-orchestrator","Data store provisioning in progress"
"ai-ops-orchestrator","Data store provisioning in progress"
"ai-ops-orchestrator","Async provisioning of data store started with transaction UID: f50f95d8-5129-48bf-9c8d-f364328ea788"
"ai-ops-tenant-services","Request submitted for provisioning resources for tenant: af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-tenant-services","Generating Service token for tenant : af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-orchestrator","Initializing Data Store"
"ai-ops-orchestrator","Sending notification of type ONBOARD_IN_PROGRESS to all websocket subscribers"
"ai-ops-orchestrator","Sending notification for the resource: null of type TENANT"
"ai-ops-orchestrator","Performing onboard readiness check"
